date,horizon,target,actual,naive,arima,var,ridge,lasso,rf,xgb
2000-01-01,1,infl_yoy,2.792956891317555,2.676399026763998,2.6424516126630064,2.626981908023128,2.7227321632553565,2.7510963059955595,2.7003950283818203,2.7525594234466557
2000-01-01,1,unrate,4.0,4.0,3.974391122917608,4.014082141513441,3.82857283213465,4.056713199083648,4.256714391963386,4.123231410980225
2000-01-01,3,infl_yoy,3.762135922330101,2.676399026763998,2.6100520186767,2.49515507786942,3.0656807762199154,2.807074024892434,2.8457673824222898,3.122678756713867
2000-01-01,3,unrate,4.0,4.0,3.894854123120814,3.994386974665261,3.941938817943917,3.969556832007641,4.327568225483667,4.25211238861084
2000-01-01,6,infl_yoy,3.7349397590361377,2.676399026763998,2.5737545409587144,2.3502149900238165,2.93994972701499,2.7813005783703204,2.8954290511748484,3.082754850387573
2000-01-01,6,unrate,4.0,4.0,3.776086604128213,3.954499660042546,3.957490596453967,3.877645774795819,4.262827757394823,4.18707799911499
2000-02-01,1,infl_yoy,3.217972070431085,2.792956891317555,2.761528952885743,2.7378590242805854,3.166021740700088,3.1923906281467858,3.0910471787537745,3.1065921783447266
2000-02-01,1,unrate,4.1,4.0,3.953543279959784,3.994751549220677,4.071085022758608,4.108019903475973,4.530272946253094,4.304193496704102
2000-02-01,3,infl_yoy,3.013863773357439,2.792956891317555,2.7073108976451024,2.5970257700395205,3.1891785652337745,2.99662044607545,2.8733377366073456,2.938778877258301
2000-02-01,3,unrate,3.8,4.0,3.874598736963679,3.9860822828453184,3.866345263299876,4.047485172327676,4.24425478394155,4.129430770874023
2000-02-01,6,infl_yoy,3.5992801439711952,2.792956891317555,2.6437439509149896,2.4392269806889604,3.1918990121036788,2.8976931427921238,3.078760995086741,3.23571515083313
2000-02-01,6,unrate,4.0,4.0,3.7566666567089344,3.955469769374232,4.0513502678912126,4.049953744982192,4.198925617274884,4.058272361755371
2000-03-01,1,infl_yoy,3.762135922330101,3.217972070431085,3.2178512405410182,3.186810937957981,3.342432664273693,3.3531124148305875,3.1589892874894825,3.1673624515533447
2000-03-01,1,unrate,4.0,4.1,4.021897028875702,4.090200264217399,3.91094968519405,3.9935492170299782,4.4255628567510925,4.245632171630859
2000-03-01,3,infl_yoy,3.1325301204819134,3.217972070431085,3.083314063007157,3.0106049057336866,3.214816085491796,3.0117306109786286,2.83514363393562,2.879225254058838
2000-03-01,3,unrate,4.0,4.1,3.946520243541378,4.123790226183851,3.9531922344235246,3.979012969043713,4.330282873090962,4.210172653198242
2000-03-01,6,infl_yoy,3.3512866546977715,3.217972070431085,2.9184139490916943,2.7968084516218275,2.89549350139228,2.8959338605794662,2.773820893887119,2.9283132553100586
2000-03-01,6,unrate,4.1,4.1,3.8336678186082502,4.143248816440041,4.049332526929002,4.007645081912017,4.202661383306238,4.191659927368164
2000-04-01,1,infl_yoy,3.013863773357439,3.762135922330101,3.835998215850324,3.786993718874197,2.663860594561916,2.75389405209815,3.0252638258370315,2.9115772247314453
2000-04-01,1,unrate,3.8,4.0,3.9679127625241977,4.047255808241986,3.9393317903712273,3.9040527220825583,4.320979416416917,4.106361389160156
2000-04-01,3,infl_yoy,3.7349397590361377,3.762135922330101,3.8035148844911753,3.5888622749220485,2.962729556132499,2.747287171487488,2.8940619939599164,2.992232322692871
2000-04-01,3,unrate,4.0,4.0,3.891908011802129,4.10695250850843,3.701622277552936,3.793222787785676,4.242982524420024,4.18712854385376
2000-04-01,6,infl_yoy,3.45649582836709,3.762135922330101,3.7547561774304414,3.312150902532764,2.074121530772386,2.3369431627909,2.937802468487438,2.963960647583008
2000-04-01,6,unrate,3.9,4.0,3.778164987428073,4.17441395697581,3.694082016568228,3.706058251420166,4.196917483741749,4.124213218688965
