target,horizon,model,RMSE,MAE,dir_acc
infl_yoy,1,naive,0.44938819183002177,0.31996763265274164,0.006389776357827476
infl_yoy,1,arima,0.4019859447844732,0.29788162511226823,0.0
infl_yoy,1,var,0.4311878695697731,0.30961996569783734,0.0
infl_yoy,3,naive,0.9769757697442638,0.6699310290052621,0.0
infl_yoy,3,arima,0.9566150542407996,0.6656790355015435,0.0
infl_yoy,3,var,1.1273079355350066,0.7292419699429726,0.0
infl_yoy,6,naive,1.4354548751302636,1.0191745205789053,0.0
infl_yoy,6,arima,1.4474759573460318,0.996578987013723,0.0
infl_yoy,6,var,1.9737537152956852,1.1208887433065322,0.0
unrate,1,naive,0.6424294941486395,0.1757188498402556,0.26517571884984026
unrate,1,arima,0.9963188058822531,0.22336984483752492,0.0
unrate,1,var,0.988859350624743,0.22069643686825538,0.0
unrate,3,naive,1.0871065463361063,0.37299035369774924,0.18971061093247588
unrate,3,arima,2.740925088240717,0.5144080662533649,0.0
unrate,3,var,2.7291408869109186,0.5088835986055779,0.0
unrate,6,naive,1.400371008354201,0.6155844155844156,0.09415584415584416
unrate,6,arima,5.755649027864889,0.9048521529889162,0.0
unrate,6,var,5.936800895423455,0.9179904069641406,0.0
