date,horizon,target,actual,naive,arima,var
2000-01-01,1,infl_yoy,2.792956891317555,2.676399026763998,2.6424516126630064,2.626981908023128
2000-01-01,1,unrate,4.0,4.0,3.974391122917608,4.014082141513441
2000-01-01,3,infl_yoy,3.762135922330101,2.676399026763998,2.6100520186766993,2.49515507786942
2000-01-01,3,unrate,4.0,4.0,3.894854123120814,3.9943869746652605
2000-01-01,6,infl_yoy,3.7349397590361377,2.676399026763998,2.5737545409587144,2.3502149900238165
2000-01-01,6,unrate,4.0,4.0,3.776086604128213,3.954499660042546
2000-02-01,1,infl_yoy,3.217972070431085,2.792956891317555,2.761528952885743,2.7378590242805854
2000-02-01,1,unrate,4.1,4.0,3.9535432799597836,3.9947515492206764
2000-02-01,3,infl_yoy,3.013863773357439,2.792956891317555,2.7073108976451024,2.5970257700395205
2000-02-01,3,unrate,3.8,4.0,3.874598736963679,3.9860822828453184
2000-02-01,6,infl_yoy,3.5992801439711952,2.792956891317555,2.6437439509149896,2.4392269806889604
2000-02-01,6,unrate,4.0,4.0,3.7566666567089344,3.955469769374232
2000-03-01,1,infl_yoy,3.762135922330101,3.217972070431085,3.2178512405410182,3.186810937957981
2000-03-01,1,unrate,4.0,4.1,4.021897028875702,4.0902002642173985
2000-03-01,3,infl_yoy,3.1325301204819134,3.217972070431085,3.083314063007157,3.0106049057336866
2000-03-01,3,unrate,4.0,4.1,3.9465202435413786,4.123790226183851
2000-03-01,6,infl_yoy,3.3512866546977715,3.217972070431085,2.9184139490916943,2.7968084516218275
2000-03-01,6,unrate,4.1,4.1,3.8336678186082507,4.143248816440041
2000-04-01,1,infl_yoy,3.013863773357439,3.762135922330101,3.835998215850324,3.786993718874197
2000-04-01,1,unrate,3.8,4.0,3.9679127625241977,4.047255808241986
2000-04-01,3,infl_yoy,3.7349397590361377,3.762135922330101,3.8035148844911753,3.5888622749220485
2000-04-01,3,unrate,4.0,4.0,3.891908011802129,4.10695250850843
2000-04-01,6,infl_yoy,3.45649582836709,3.762135922330101,3.7547561774304423,3.3121509025327636
2000-04-01,6,unrate,3.9,4.0,3.7781649874280725,4.17441395697581
2000-05-01,1,infl_yoy,3.1325301204819134,3.013863773357439,2.734181626683667,2.8399227718843063
2000-05-01,1,unrate,4.0,3.8,3.804481988885104,3.8740787451559022
2000-05-01,3,infl_yoy,3.5992801439711952,3.013863773357439,2.7169322648195924,2.6857879051654616
2000-05-01,3,unrate,4.0,3.8,3.7255186700499885,3.847571822557271
2000-05-01,6,infl_yoy,3.4503271861986877,3.013863773357439,2.73053660474487,2.537984177507651
2000-05-01,6,unrate,3.9,3.8,3.607390513577927,3.8057221248440416
2000-06-01,1,infl_yoy,3.7349397590361377,3.1325301204819134,3.0729586468526686,3.0561199932921057
2000-06-01,1,unrate,4.0,4.0,3.9062100509689355,3.950706573035729
