feature,importance,model,target,horizon
infl_yoy,0.27801355793258975,rf,infl_yoy,6
gs10_lag6,0.11858215944421592,rf,infl_yoy,6
infl_yoy_lag1,0.06080428572030552,rf,infl_yoy,6
d_payems,0.03253363672730836,rf,infl_yoy,6
d_payems_lag1,0.02871132627776809,rf,infl_yoy,6
d_payems_lag5,0.025747253237484745,rf,infl_yoy,6
d_payems_lag6,0.02542777233390397,rf,infl_yoy,6
gs10_lag5,0.023754521898415464,rf,infl_yoy,6
tb3ms,0.02030195417003631,rf,infl_yoy,6
tb3ms_lag4,0.019729745558921243,rf,infl_yoy,6
fedfunds,0.018633748046836224,rf,infl_yoy,6
core_infl_yoy,0.01854261261473816,rf,infl_yoy,6
infl_yoy_lag6,0.01794589154652758,rf,infl_yoy,6
tb3ms_lag5,0.017138058416195274,rf,infl_yoy,6
d_payems_lag2,0.015083864557696893,rf,infl_yoy,6
core_infl_yoy_lag6,0.014816932967191807,rf,infl_yoy,6
tb3ms_lag6,0.01378437275795153,rf,infl_yoy,6
gs10_lag4,0.01265281749664309,rf,infl_yoy,6
tb3ms_lag1,0.012641515215475053,rf,infl_yoy,6
fedfunds_lag6,0.01114169304956387,rf,infl_yoy,6
gs10_lag6,0.1756598800420761,xgb,infl_yoy,6
infl_yoy,0.038424309343099594,xgb,infl_yoy,6
d_payems_lag5,0.03726419061422348,xgb,infl_yoy,6
fedfunds_lag6,0.0344826802611351,xgb,infl_yoy,6
unrate_lag1,0.032956622540950775,xgb,infl_yoy,6
d_payems,0.0316586010158062,xgb,infl_yoy,6
d_payems_lag6,0.031647175550460815,xgb,infl_yoy,6
fedfunds_lag1,0.028146617114543915,xgb,infl_yoy,6
fedfunds_lag5,0.028024224564433098,xgb,infl_yoy,6
infl_yoy_lag1,0.027574775740504265,xgb,infl_yoy,6
tb3ms_lag4,0.027209991589188576,xgb,infl_yoy,6
tb3ms,0.02681724540889263,xgb,infl_yoy,6
d_payems_lag1,0.022955281659960747,xgb,infl_yoy,6
gs10,0.01997862569987774,xgb,infl_yoy,6
tb3ms_lag5,0.01991375908255577,xgb,infl_yoy,6
gs10_lag1,0.019657889381051064,xgb,infl_yoy,6
core_infl_yoy_lag6,0.0192470271140337,xgb,infl_yoy,6
d_payems_lag4,0.018740320578217506,xgb,infl_yoy,6
d_payems_lag2,0.017332544550299644,xgb,infl_yoy,6
fedfunds_lag3,0.017308196052908897,xgb,infl_yoy,6
