feature,importance,model,target,horizon
unrate,0.614938857482654,rf,unrate,6
spread,0.02817173346505078,rf,unrate,6
unrate_lag6,0.016649269208285793,rf,unrate,6
d_payems_lag6,0.015515404575331371,rf,unrate,6
sentiment,0.014817848365934302,rf,unrate,6
gs10,0.014038898436438019,rf,unrate,6
unrate_lag5,0.01282605135647492,rf,unrate,6
sentiment_lag6,0.010650956521272154,rf,unrate,6
d_payems_lag5,0.010561962401446608,rf,unrate,6
sentiment_lag2,0.010511831533414265,rf,unrate,6
unrate_lag2,0.01029057062263945,rf,unrate,6
sentiment_lag3,0.010222841839419197,rf,unrate,6
d_payems,0.009555860482988222,rf,unrate,6
sentiment_lag1,0.009229376150729383,rf,unrate,6
unrate_lag1,0.008982241159363297,rf,unrate,6
d_indpro,0.008734285110737075,rf,unrate,6
sentiment_lag4,0.00772565337306597,rf,unrate,6
d_oil_lag5,0.007695141295284216,rf,unrate,6
unrate_lag4,0.0072745166705936145,rf,unrate,6
spread_lag6,0.007176673107185136,rf,unrate,6
unrate,0.16268672049045563,xgb,unrate,6
unrate_lag1,0.1128731369972229,xgb,unrate,6
unrate_lag2,0.08183600008487701,xgb,unrate,6
unrate_lag3,0.05608919635415077,xgb,unrate,6
unrate_lag5,0.038817670196294785,xgb,unrate,6
infl_yoy_lag2,0.03443703055381775,xgb,unrate,6
sentiment,0.03155778720974922,xgb,unrate,6
unrate_lag6,0.02889992669224739,xgb,unrate,6
spread_lag5,0.028853507712483406,xgb,unrate,6
spread,0.021412089467048645,xgb,unrate,6
unrate_lag4,0.020228158682584763,xgb,unrate,6
gs10_lag1,0.01949654519557953,xgb,unrate,6
sentiment_lag2,0.019386975094676018,xgb,unrate,6
sentiment_lag1,0.018377354368567467,xgb,unrate,6
gs10_lag2,0.017844680696725845,xgb,unrate,6
gs10,0.01619405671954155,xgb,unrate,6
sentiment_lag6,0.015743998810648918,xgb,unrate,6
sentiment_lag3,0.015738239511847496,xgb,unrate,6
sentiment_lag4,0.015365323051810265,xgb,unrate,6
spread_lag6,0.014736329205334187,xgb,unrate,6
