date,horizon,target,actual,ridge,lasso,rf,xgb
2000-01-01,1,infl_yoy,2.792956891317555,2.7227321632553565,2.7510963059955595,2.7003950283818203,2.7525594234466553
2000-01-01,1,unrate,4.0,3.82857283213465,4.056713199083648,4.256714391963386,4.123231410980225
2000-01-01,3,infl_yoy,3.762135922330101,3.0656807762199154,2.807074024892434,2.8457673824222898,3.122678756713867
2000-01-01,3,unrate,4.0,3.9419388179439174,3.9695568320076413,4.327568225483667,4.25211238861084
2000-01-01,6,infl_yoy,3.7349397590361377,2.93994972701499,2.7813005783703204,2.8954290511748484,3.0827548503875732
2000-01-01,6,unrate,4.0,3.957490596453967,3.877645774795819,4.262827757394823,4.18707799911499
2000-02-01,1,infl_yoy,3.217972070431085,3.166021740700088,3.1923906281467858,3.0910471787537745,3.1065921783447266
2000-02-01,1,unrate,4.1,4.0710850227586075,4.108019903475973,4.530272946253094,4.304193496704102
2000-02-01,3,infl_yoy,3.013863773357439,3.1891785652337745,2.99662044607545,2.8733377366073456,2.938778877258301
2000-02-01,3,unrate,3.8,3.866345263299876,4.047485172327676,4.24425478394155,4.129430770874023
2000-02-01,6,infl_yoy,3.5992801439711952,3.1918990121036788,2.8976931427921233,3.078760995086741,3.23571515083313
2000-02-01,6,unrate,4.0,4.0513502678912126,4.049953744982192,4.198925617274884,4.058272361755371
2000-03-01,1,infl_yoy,3.762135922330101,3.3424326642736935,3.3531124148305875,3.1589892874894825,3.1673624515533447
2000-03-01,1,unrate,4.0,3.91094968519405,3.9935492170299787,4.4255628567510925,4.245632171630859
2000-03-01,3,infl_yoy,3.1325301204819134,3.2148160854917958,3.0117306109786286,2.83514363393562,2.879225254058838
2000-03-01,3,unrate,4.0,3.9531922344235246,3.9790129690437133,4.330282873090962,4.210172653198242
2000-03-01,6,infl_yoy,3.3512866546977715,2.8954935013922802,2.8959338605794662,2.773820893887119,2.9283132553100586
2000-03-01,6,unrate,4.1,4.049332526929002,4.007645081912017,4.202661383306238,4.191659927368164
2000-04-01,1,infl_yoy,3.013863773357439,2.6638605945619154,2.75389405209815,3.0252638258370315,2.9115772247314453
2000-04-01,1,unrate,3.8,3.9393317903712273,3.9040527220825583,4.320979416416917,4.106361389160156
2000-04-01,3,infl_yoy,3.7349397590361377,2.962729556132499,2.7472871714874874,2.8940619939599164,2.992232322692871
2000-04-01,3,unrate,4.0,3.7016222775529357,3.7932227877856755,4.242982524420024,4.18712854385376
2000-04-01,6,infl_yoy,3.45649582836709,2.074121530772386,2.3369431627908996,2.9378024684874386,2.963960647583008
2000-04-01,6,unrate,3.9,3.694082016568228,3.706058251420166,4.196917483741749,4.124213218688965
2000-05-01,1,infl_yoy,3.1325301204819134,2.916876924136708,2.968153069983112,3.1733693129613694,3.204441785812378
