feature,importance,model,target,horizon
unrate,0.8790771953922065,rf,unrate,1
d_m2,0.0388164103446879,rf,unrate,1
unrate_lag1,0.023967820159815703,rf,unrate,1
d_payems,0.012077943648083619,rf,unrate,1
d_oil,0.008907142020187197,rf,unrate,1
d_indpro,0.006260296815513959,rf,unrate,1
gs10,0.006088284873562244,rf,unrate,1
unrate_lag4,0.0016279126227101669,rf,unrate,1
unrate_lag3,0.0014351081452622172,rf,unrate,1
unrate_lag6,0.0014079401179156775,rf,unrate,1
d_payems_lag2,0.0013218342927339601,rf,unrate,1
d_payems_lag1,0.000803634841504396,rf,unrate,1
sentiment_lag1,0.0006784651119637558,rf,unrate,1
unrate_lag2,0.000659054774593964,rf,unrate,1
d_indpro_lag5,0.0005927517803193489,rf,unrate,1
gs10_lag1,0.0005858961646558341,rf,unrate,1
d_m2_lag1,0.0005642726885863904,rf,unrate,1
sentiment_lag2,0.0005465163368626246,rf,unrate,1
sentiment_lag6,0.0005361599951562405,rf,unrate,1
infl_yoy_lag6,0.0005073299615381823,rf,unrate,1
unrate_lag1,0.23665300011634827,xgb,unrate,1
unrate,0.23276416957378387,xgb,unrate,1
unrate_lag2,0.18683375418186188,xgb,unrate,1
unrate_lag3,0.13291464745998383,xgb,unrate,1
gs10,0.0693618655204773,xgb,unrate,1
d_payems,0.033377423882484436,xgb,unrate,1
d_m2,0.01944594644010067,xgb,unrate,1
sentiment_lag4,0.015886155888438225,xgb,unrate,1
d_indpro,0.014590744860470295,xgb,unrate,1
spread,0.004870884586125612,xgb,unrate,1
fedfunds_lag3,0.004737640731036663,xgb,unrate,1
sentiment_lag2,0.0035483301617205143,xgb,unrate,1
d_payems_lag1,0.002589315641671419,xgb,unrate,1
sentiment_lag6,0.002445358783006668,xgb,unrate,1
d_payems_lag2,0.0023168018087744713,xgb,unrate,1
gs10_lag3,0.0021293892059475183,xgb,unrate,1
core_infl_yoy_lag1,0.002107157837599516,xgb,unrate,1
fedfunds,0.0019509330159053206,xgb,unrate,1
core_infl_yoy_lag4,0.0014218137366697192,xgb,unrate,1
infl_yoy,0.0013995622284710407,xgb,unrate,1
