feature,importance,model,target,horizon
infl_yoy,0.7048905229647899,rf,infl_yoy,3
d_payems,0.024626450818374016,rf,infl_yoy,3
infl_yoy_lag1,0.019649129861146482,rf,infl_yoy,3
gs10_lag6,0.018268405090898998,rf,infl_yoy,3
tb3ms_lag2,0.014923217812776154,rf,infl_yoy,3
sentiment_lag3,0.010725599290742962,rf,infl_yoy,3
tb3ms_lag6,0.010325514461609848,rf,infl_yoy,3
sentiment_lag4,0.009029862567000446,rf,infl_yoy,3
infl_yoy_lag2,0.008215567287515884,rf,infl_yoy,3
gs10_lag3,0.007667580674973701,rf,infl_yoy,3
d_oil,0.007632110577531433,rf,infl_yoy,3
gs10_lag2,0.007098367161649995,rf,infl_yoy,3
d_payems_lag1,0.007081376753819991,rf,infl_yoy,3
fedfunds_lag6,0.006438226927484695,rf,infl_yoy,3
sentiment_lag2,0.005890348267099432,rf,infl_yoy,3
gs10_lag4,0.005565670025368165,rf,infl_yoy,3
core_infl_yoy,0.0053958837256104075,rf,infl_yoy,3
gs10_lag5,0.0052543665332279044,rf,infl_yoy,3
d_payems_lag2,0.005006964610005683,rf,infl_yoy,3
gs10_lag1,0.004545231711468361,rf,infl_yoy,3
infl_yoy_lag1,0.13253509998321533,xgb,infl_yoy,3
infl_yoy,0.12578085064888,xgb,infl_yoy,3
gs10_lag6,0.07081787288188934,xgb,infl_yoy,3
d_payems,0.047533318400382996,xgb,infl_yoy,3
tb3ms_lag5,0.04300607368350029,xgb,infl_yoy,3
gs10_lag2,0.03933386877179146,xgb,infl_yoy,3
fedfunds_lag1,0.028684629127383232,xgb,infl_yoy,3
tb3ms_lag6,0.026421215385198593,xgb,infl_yoy,3
gs10_lag1,0.02592824399471283,xgb,infl_yoy,3
gs10_lag3,0.024478184059262276,xgb,infl_yoy,3
gs10_lag5,0.022222906351089478,xgb,infl_yoy,3
tb3ms_lag2,0.01883651688694954,xgb,infl_yoy,3
tb3ms_lag4,0.018744254484772682,xgb,infl_yoy,3
gs10_lag4,0.018112925812602043,xgb,infl_yoy,3
tb3ms_lag1,0.018058646470308304,xgb,infl_yoy,3
infl_yoy_lag2,0.013671333901584148,xgb,infl_yoy,3
fedfunds_lag2,0.012476249597966671,xgb,infl_yoy,3
sentiment_lag3,0.011842328123748302,xgb,infl_yoy,3
tb3ms_lag3,0.011671062558889389,xgb,infl_yoy,3
d_payems_lag6,0.011447029188275337,xgb,infl_yoy,3
